plz,lat,lon,ort
7000,47.8452778,16.5247223,Eisenstadt
7000,47.8452778,16.5247223,Eisenstadt
7000,47.841944,16.5047224,Kleinhöflein im Burgenland
7000,47.855834,16.5525,Sankt Georgen am Leithagebirge
7071,47.800556,16.676112,Rust
7071,47.800556,16.676112,Rust
7091,47.9430556,16.7366668,Breitenbrunn am Neusiedler See
7091,47.9430556,16.7366668,Breitenbrunn
7082,47.8975,16.642223,Donnerskirchen
7082,47.8975,16.642223,Donnerskirchen
7051,47.8344,16.4813889,Großhöflein
7051,47.8344,16.4813889,Großhöflein
"2491,7053",47.880835,16.445833,Hornstein
"2491,7053",47.880835,16.445833,Hornstein
7013,47.753889,16.53889,Klingenbach
7013,47.753889,16.53889,Klingenbach
2443,47.936667,16.477778,Leithaprodersdorf
2443,47.936667,16.477778,Leithaprodersdorf
7072,47.7533,16.6675,Mörbisch am See
7072,47.7533,16.6675,Mörbisch am See
7052,47.843889,16.458889,Müllendorf
7052,47.843889,16.458889,Müllendorf
2491,47.866944,16.377222,Neufeld an der Leitha
2491,47.866944,16.377222,Neufeld an der Leitha
7063,47.831111,16.663056,Oggau am Neusiedler See
7063,47.831111,16.663056,Oggau am Neusiedler See
7064,47.833889,16.621111,Oslip
7064,47.833889,16.621111,Oslip
7083,47.91361,16.695833,Purbach am Neusiedler See
7083,47.91361,16.695833,Purbach am Neusiedler See
7062,47.80335,16.60694,Sankt Margarethen im Burgenland
7062,47.80335,16.60694,Sankt Margarethen im Burgenland
7081,47.85056,16.624722,Schützen am Gebirge
7081,47.85056,16.624722,Schützen am Gebirge
7011,47.7813889,16.54222,Siegendorf
7011,47.7813889,16.54222,Siegendorf
"2491,7035",47.837222,16.41445,Steinbrunn
"2491,7035",47.837222,16.41445,Steinbrunn
7061,47.8141667,16.558056,Trausdorf an der Wulka
7061,47.8141667,16.558056,Trausdorf an der Wulka
2485,47.916389,16.4294446,Wimpassing an der Leitha
2485,47.916389,16.4294446,Wimpassing an der Leitha
7041,47.79334,16.49444,Wulkaprodersdorf
7041,47.79334,16.49444,Wulkaprodersdorf
2443,47.914724,16.515833,Loretto
2443,47.914724,16.515833,Loretto
2443,47.905,16.54722,Stotzing
2443,47.905,16.54722,Stotzing
"7033,7034",47.813056,16.4063887,Zillingtal
"7033,7034",47.813056,16.4063887,Zillingtal
7011,47.765,16.5125,Zagersdorf
7011,47.765,16.5125,Zagersdorf
7551,47.143333,16.174722,Bocksdorf
7551,47.143333,16.174722,Bocksdorf
"8291,8292",47.1475,16.128056,Burgauberg-Neudauberg
8291,47.1475,16.128056,Burgauberg
8292,47.171667,16.121945,Neudauberg
"7521,7522",47.105278,16.461667,Eberau
7521,47.105278,16.461667,Eberau
7521,47.0836,16.462778,Gaas
7522,47.1167,16.405833,Kroatisch Ehrensdorf
7521,47.10389,16.4519444,Kulm im Burgenland
7521,47.1175,16.4444443,Winten
"7540,7542",47.0722,16.25,Gerersdorf-Sulz
7542,47.0678,16.255278,Gerersdorf bei Güssing
7540,47.0811,16.236668,Rehgraben
"7540,7542",47.07694,16.2561,Sulz im Burgenland
"7540,7542",47.059445,16.323889,Güssing
7540,47.0430,16.359445,Glasing
7540,47.059445,16.323889,Güssing
7540,47.060278,16.307776,Krottendorf
7540,47.047775,16.327778,Sankt Nikolaus
7542,47.063889,16.2775,Steingraben
7540,47.058333,16.372778,Urbersdorf
7535,47.16,16.288612,Güttenbach
7535,47.16,16.288612,Güttenbach
7522,47.0252788,16.415833,Heiligenbrunn
7522,47.011945,16.430557,Deutsch Bieling
7522,47.015278,16.454167,Hagensdorf im Burgenland
7522,47.0252788,16.415833,Heiligenbrunn
7522,47.01361,16.4794445,Luising
7522,47.01111,16.391667,Reinersdorf
"7540,7543",47.075556,16.208889,Kukmirn
7543,47.105,16.19777,Eisenhüttl
7543,47.075556,16.208889,Kukmirn
7543,47.0620,16.1690,Limbach im Burgenland
7540,47.0830,16.1750,Neusiedl bei Güssing
"7537,",47.1689,16.259723,Neuberg im Burgenland
"7537,",47.1689,16.259723,Neuberg im Burgenland
7540,47.025,16.26444,Neustift bei Güssing
7540,47.025,16.26444,Neustift bei Güssing
7534,47.187778,16.2055,Olbendorf
7534,47.187778,16.2055,Olbendorf
7533,47.1864,16.164167,Ollersdorf im Burgenland
7533,47.1864,16.164167,Ollersdorf im Burgenland
7535,47.12722,16.269167,Sankt Michael im Burgenland
7535,47.10834,16.2572,Gamischdorf
7535,47.12722,16.269167,Sankt Michael im Burgenland
7535,47.1211,16.24361,Schallendorf im Burgenland
7551,47.16,16.166945,Stegersbach
7551,47.16,16.166945,Stegersbach
7552,47.204167,16.13334,Stinatz
7552,47.204167,16.13334,Stinatz
7522,47.05,16.414724,Strem
7522,47.096946,16.414724,Deutsch Ehrensdorf
7522,47.07167,16.4178,Steinfurt
7522,47.05,16.414724,Strem
7522,47.045,16.395,Sumetendorf
"7535,7540",47.089722,16.304722,Tobaj
7535,47.106389,16.287776,Deutsch Tschantschendorf
7540,47.078333,16.297778,Hasendorf im Burgenland
7535,47.097778,16.286111,Kroatisch Tschantschendorf
"7535,7540",47.120556,16.343888,Punitz
7540,47.089722,16.304722,Tobaj
7535,47.100834,16.276667,Tudersdorf
8292,47.196389,16.106944,Hackerberg
8292,47.196389,16.106944,Hackerberg
8293,47.2225,16.0975,Wörterberg
8293,47.2225,16.0975,Wörterberg
7540,47.016389,16.360833,Großmürbisch
7540,47.016389,16.360833,Großmürbisch
7540,47.0125,16.317224,Inzenhof
7540,47.0125,16.317224,Inzenhof
7540,47.033889,16.324445,Kleinmürbisch
7540,47.033889,16.324445,Kleinmürbisch
7540,47.006667,16.305278,Tschanigraben
7540,47.006667,16.305278,Tschanigraben
7551,47.118889,16.191112,Heugraben
7551,47.118889,16.191112,Heugraben
7551,47.118889,16.164445,Rohr im Burgenland
7551,47.118889,16.164445,Rohr im Burgenland
7521,47.134166,16.466111,Bildein
7521,47.134166,16.466111,Oberbildein
7521,47.128611,16.4675,Unterbildein
7535,47.134722,16.231389,Rauchwart im Burgenland
7535,47.134722,16.231389,Rauchwart im Burgenland
7540,47.056389,16.4775,Moschendorf
7540,47.056389,16.4775,Moschendorf
7572,47.090555,16.106111,Deutsch Kaltenbrunn
7572,47.090555,16.106111,Deutsch Kaltenbrunn
7572,47.123889,16.115,Rohrbrunn
7562,47.008333,16.197777,Eltendorf
7562,47.008333,16.197777,Eltendorf
7562,47.025278,16.213334,Zahling
7561,46.988889,16.260276,Heiligenkreuz im Lafnitztal
7561,46.988889,16.260276,Heiligenkreuz im Lafnitztal
7561,46.9975,16.230278,Poppendorf im Burgenland
"8282,8380",46.937225,16.141665,Jennersdorf
8380,46.95,16.119722,Grieselstein
"8282,8380",46.9830,16.1460,Henndorf im Burgenland
8380,46.937225,16.141665,Jennersdorf
8380,46.943335,16.160555,Rax
8384,46.881667,16.069722,Minihof-Liebau
8384,46.881667,16.069722,Minihof-Liebau
8384,46.862778,16.079444,Tauka
8384,46.890556,16.096111,Windisch - Minihof
8382,46.947778,16.230555,Mogersdorf
8382,46.970556,16.243611,Deutsch Minihof
8382,46.947778,16.230555,Mogersdorf
8382,46.972222,16.233334,Wallendorf
"8384,8385",46.8689,16.02944,Neuhaus am Klausenbach
"8384,8385",46.841944,16.04,Bonisdorf
8385,46.841945,16.01111,Kalch
8385,46.84972,16.028611,Krottendorf bei Neuhaus am Klausenbach
8385,46.8689,16.02944,Neuhaus am Klausenbach
"7564,7571",47.05,16.1225,Rudersdorf
7564,47.021667,16.143334,Dobersdorf
7571,47.0490,16.1225,Rudersdorf
"8350,8380,8383,8384,8385",46.9195,16.135,Sankt Martin an der Raab
8383,46.92056,16.11333,Doiber
8383,46.92111,16.095,Gritsch
8380,46.9269444,16.160278,Neumarkt an der Raab
