plz,lat,lon,ort
01067,51.0600336463379,13.7210676148814,Dresden
01069,51.039558876083,13.738906640160902,Dresden
01097,51.0667452412037,13.743967411064201,Dresden
01099,51.09261930470839,13.8289798683304,Dresden
01108,51.09261930470839,13.8289798683304,Dresden
01109,51.1201009324663,13.761964536486099,Dresden
01127,51.079630413015785,13.733347378178001,Dresden
01129,51.0967944759693,13.7274104697459,Dresden
01139,51.0805574259239,13.6911443969423,Dresden
01156,51.06663081492911,13.6233072524789,Cossebaude
01157,51.0643076931977,13.6708047478723,Dresden
01159,51.042605765492894,13.700691558167401,Dresden
01169,51.0402553993976,13.669187770824001,Dresden
01187,51.026380266178506,13.702665771403598,Dresden
01189,51.0139161289227,13.7045105691695,Dresden
01217,51.0171437482078,13.7445163387362,Dresden
01219,51.0223236798061,13.767050572669001,Dresden
01237,51.017566512676495,13.799585917099801,Dresden
01239,51.002682960085494,13.7910680057092,Dresden
01257,50.99673253561279,13.8159850373907,Dresden
01259,50.9954059978924,13.850400922877801,Dresden
01277,51.035869026152106,13.799624826675696,Dresden
01279,51.0262558292618,13.829358598703001,Dresden
01307,51.054135498816,13.7726271881428,Dresden
01309,51.048648930258295,13.7914262584064,Dresden
01324,51.065783225577704,13.856534933631599,Dresden
01326,51.0255377692464,13.860493221822601,Dresden
01328,51.0255377692464,13.860493221822601,Dresden
01445,51.113631945926,13.643284254026597,Radebeul
01454,51.132220429742496,13.917477860708699,Radeberg
01458,51.1806998157721,13.8458463274789,Ottendorf-Okrilla
01465,51.139198164066286,13.8529489368089,Langebrück
01468,51.16435975884911,13.6880862158881,Reichenberg
01471,51.2077931641187,13.7337932032249,Radeburg
01474,51.0419834157698,13.9103529151579,Schönfeld-Weißig
01477,51.0920430235188,13.985677697988999,Arnsdorf bei Dresden
01478,51.154788153415204,13.7870919641968,Weixdorf
01558,51.289114590303704,13.5315731714366,Großenhain
01561,51.297690980326394,13.6355869926486,Großenhain
01587,51.30264200799851,13.273384150640199,Riesa
01589,51.2932197615145,13.3280500186448,Riesa
01591,51.318578290632715,13.247631665764803,Riesa
01594,51.26028437206221,13.292602114365199,Riesa
01609,51.39330558164951,13.427626795325803,Gröditz
01612,51.2971491835087,13.410763680434899,Nünchritz
01616,51.36277745452539,13.233513371901,Strehla
01619,51.369324170944395,13.317557141446901,Zeithain
01623,51.165162246341886,13.2973632027006,Lommatzsch
01640,51.1387586054451,13.580926302194,Coswig
01662,51.162520264445895,13.4806311361759,Meißen
01665,51.1362568421529,13.448954402603901,Meißen
01683,51.0624700142114,13.3391720317397,Nossen
01689,51.18353279363979,13.563535045269301,Weinböhla
01705,50.998196328679505,13.6382950999229,Freital
01723,51.0284130540989,13.5134891000342,Wilsdruff
01728,50.9821082979879,13.729136985380899,Bannewitz
01731,50.948788566099786,13.759732448611699,Kreischa
01734,50.95013687570721,13.668727454760099,Rabenau
01737,50.966260898006,13.5201035014231,Tharandt
01738,50.9152518327972,13.5173401169574,Colmnitz
01744,50.892118602672504,13.654532984486,Dippoldiswalde
01762,50.8161179074883,13.617842237346,Schmiedeberg
01768,50.855964459450206,13.7645505179288,Glashütte
01773,50.7701863367731,13.7227980508795,Altenberg
01774,50.89008161966311,13.5669529340257,Höckendorf
01776,50.771049767094404,13.6629879743292,Hermsdorf / Erzgebirge
01778,50.76506986190911,13.8426295641397,Geising
01796,50.9371542514534,13.972073335425401,Pirna
01809,50.945525022398904,13.8449931917694,Heidenau
01814,50.901917771449796,14.196633547436301,Bad Schandau
01816,50.8298345463513,13.9656137628441,Bad Gottleuba
01819,50.88178494597901,13.9803886523367,Berggießhübel
01824,50.8788255493473,14.084639203017499,Königstein / Sächsische Schweiz
01825,50.8604595275301,13.8775206298858,Liebstadt
01827,50.990283536845894,13.9183895533832,Graupa
01829,50.96143930906121,14.010798489976402,Stadt Wehlen
01833,51.0396792461695,14.0607858764795,Stolpen
01844,51.0358209294172,14.226992448308499,Neustadt in Sachsen
01847,50.9847555091057,14.0186319478249,Lohmen
01848,50.9788387434272,14.143804248471902,Hohnstein
01855,50.9386350649986,14.295019570952102,Sebnitz
01877,51.125163341821796,14.204037883161199,Bischofswerda
01896,51.182519806234204,14.0121693844565,Pulsnitz
01900,51.144627187728794,14.03375842408,Großröhrsdorf
01904,51.080415605349906,14.327698195734198,Neukirch / Lausitz
01906,51.1871408473025,14.2077463894613,Bischofswerda
01909,51.1085678698569,14.0820774273187,Großharthau
01917,51.2705080744543,14.111626909933099,Kamenz
01920,51.2693501643649,14.1565791843606,Deutschbaselitz
01936,51.292203230091,13.9378853726551,Königsbrück
01945,51.4253935388223,13.879713913157303,Ruhland
01968,51.5211335699322,14.025479834489904,Senftenberg
01979,51.5037294774548,13.7565048370695,Lauchhammer
01983,51.584342038258285,14.051655220833302,Großräschen
01987,51.48284818862639,13.856955555884099,Schwarzheide Niederlausitz
01990,51.3853070881689,13.7347367836667,Ortrand
01993,51.510651990647105,13.888210076256001,Schipkau
01994,51.580537205873696,13.9241987551606,Annahütte
01996,51.459084582004394,14.0337029399463,Hosena
01998,51.54257131554101,13.886368248970001,Klettwitz
02625,51.185667039048006,14.4365868353327,Bautzen
02627,51.18701442569671,14.521018931967197,Weißenberg
02633,51.1657477317624,14.315410701087599,Göda
02681,51.090498750615204,14.4170717630233,Wilthen
02689,51.0463985404994,14.432903052205699,Sohland an der Spree
02692,51.13350420682821,14.419334007860801,Obergurig
02694,51.26350921049301,14.537486295936999,Großdubrau
02699,51.29094244490111,14.3502824523528,Königswartha
02708,51.0904319171108,14.6697479487381,Löbau
02727,50.974062794102494,14.612798599226997,Neugersdorf
02730,51.0138119490906,14.611414830863199,Ebersbach
02733,51.09939586948551,14.528158264986503,Cunewalde
02736,51.0663183271913,14.516982898707099,Oppach
02739,50.9920097089402,14.6550703961587,Eibau
02742,51.0313877036959,14.5457801319928,Neusalza-Spremberg
02744,50.969713626804506,14.701194489249001,Oberoderwitz
02747,51.010210638874,14.762811579226902,Herrnhut
02748,51.047378266117896,14.830823504821801,Bernstadt
02763,50.9087877353582,14.7868393700758,Zittau
02779,50.9021905899615,14.6820187352162,Großschönau
02782,50.9360759135317,14.6088836183903,Seifhennersdorf
02785,50.873018375560704,14.765271521554999,Olbersdorf
02788,50.961645240943604,14.870660125560699,Hirschfelde
02791,50.9542996431919,14.7455244809583,Niederoderwitz
02794,50.947584474231604,14.662251941679099,Leutersdorf
02796,50.8528709218412,14.693627689027801,Jonsdorf
02797,50.8399718219569,14.7556214151635,Oybin
02799,50.8645532743721,14.648615873780502,Waltersdorf
02826,51.14686407050671,14.9841912137216,Görlitz
02827,51.13170058821101,14.9644336570507,Görlitz
02828,51.169386005347,14.982757259718001,Görlitz
02829,51.1793133227497,14.931444559660802,Görlitz
02894,51.1586210341871,14.783797016058301,Reichenbach / Oberlausitz
02899,51.041362358469286,14.915516333041598,Görlitz
02906,51.29686932838001,14.719917541431196,Niesky
02923,51.302990419275204,14.887749879193402,Niesky
02929,51.358439505696104,14.954917434634199,Rothenburg / Oberlausitz
02943,51.4455327569972,14.6231366648455,Weißwasser
02953,51.5485347944777,14.668792984739001,Bad Muskau
02956,51.410144334741794,14.8071789258513,Rietschen
02957,51.4744440525675,14.7980059857637,Krauschwitz
02959,51.5231251115797,14.5263426599706,Schleife
02977,51.423964049538796,14.216005089759099,Hoyerswerda
02979,51.480804489612396,14.4208851704129,Hoyerswerda
02991,51.4824187384614,14.196309501594904,Lauta
02994,51.384897512175996,14.076081833466999,Bernsdorf
02997,51.380361345995595,14.2456691320338,Wittichenau
02999,51.3794218631087,14.431477902042301,Lohsa
03042,51.775849198575706,14.417386302876599,Cottbus
03044,51.7851954322445,14.3462668653205,Cottbus
03046,51.7642841051626,14.3105961699576,Cottbus
03048,51.7386575406352,14.3084496695284,Cottbus
03050,51.733800439886295,14.3428162204931,Cottbus
03051,51.7212475070751,14.4173519658731,Cottbus
03052,51.76223041819861,14.429363438563001,Cottbus
03053,51.80501075516621,14.3899095323459,Cottbus
03054,51.8320174376614,14.353294312110801,Cottbus
03055,51.81420046722901,14.313416921196001,Cottbus
03058,51.6951974057929,14.3905994367258,Gallinchen
03096,51.8398236297927,14.2022775486531,Burg / Spreewald
03099,51.7541879060613,14.2029591073863,Kolkwitz
03103,51.6263004105257,14.1242212424135,Neupetershain
03116,51.6464926876213,14.2159936024012,Drebkau
03119,51.575983190094796,14.1786551453494,Welzow
03130,51.59200521628839,14.4285361926079,Spremberg
03139,51.531349538804996,14.324270634403401,Schwarze Pumpe
03149,51.726184190725,14.608042926509599,Forst / Lausitz
03159,51.6305296247609,14.6600872851445,Döbern
03172,51.9595001517035,14.576158748396098,Guben
03185,51.8779405940495,14.4152417815639,Peitz
03197,51.8798303187555,14.529733057281303,Jänschwalde
03205,51.7280249390139,13.948728654899199,Calau
03222,51.85410163967871,13.927663192495697,Lübbenau / Spreewald
03226,51.815550501819104,14.0521859735019,Vetschau
03229,51.665599416739205,14.0576959342314,Altdöbern
03238,51.60084494423021,13.717787937802902,Finsterwalde
03246,51.7331039787029,13.7803983499336,Crinitz
03249,51.70760775770571,13.66779456204,Sonnewalde
03253,51.6401628467384,13.500302391339,Doberlug-Kirchhain
04103,51.33299336765899,12.393171634463,Leipzig
04105,51.3532158481417,12.3615440257456,Leipzig
04107,51.3319369827246,12.3730717463847,Leipzig
04109,51.3401650247005,12.366223911428099,Leipzig
04129,51.373480746827404,12.390987971015901,Leipzig
04155,51.362855095106404,12.362833026709303,Leipzig
04157,51.3758698758593,12.371751198424098,Leipzig
04158,51.3758698758593,12.371751198424098,Leipzig
04159,51.3743049194689,12.3292220441593,Leipzig
04177,51.340979543139895,12.3344688082617,Leipzig
04178,51.3532,12.263,Leipzig
04179,51.3481006668968,12.316773985880802,Leipzig
04205,51.327234339093295,12.2736152868547,Leipzig
04207,51.3077370124942,12.2755323469935,Leipzig
04209,51.3222662708309,12.2989041810904,Leipzig
04229,51.32151759647671,12.338941270566599,Leipzig
04249,51.287750344125214,12.3145431203951,Leipzig
04275,51.32262141119021,12.3738452832566,Leipzig
04277,51.3077587079575,12.372589892021804,Leipzig
04279,51.294430853771,12.4014143330105,Leipzig
04288,51.294430853771,12.4014143330105,Leipzig
04289,51.301078473028,12.429535283918199,Leipzig
04299,51.319258618198994,12.4288304537393,Leipzig
04315,51.34705466350179,12.4093019668461,Leipzig
04316,51.34705466350179,12.4093019668461,Leipzig
04317,51.33246908226521,12.406500821601698,Leipzig
04318,51.3426003738871,12.4298561094508,Leipzig
04319,51.3426003738871,12.4298561094508,Leipzig
04328,51.3485458679045,12.451879540918,Leipzig
04329,51.3591079869906,12.468289913565302,Leipzig
04347,51.361896953518,12.421758376245899,Leipzig
04349,51.3909661643052,12.4492022493611,Leipzig
04356,51.4212075374621,12.4401668557006,Leipzig
04357,51.3822076173024,12.4117985796606,Leipzig
04416,51.268703299346704,12.3889204344979,Markkleeberg
04420,51.2891977911683,12.2211992218854,Markranstädt
04425,51.392049993246296,12.5114512111022,Taucha
04430,51.3559139206556,12.2432762354154,Böhlitz-Ehrenberg
04435,51.40062686043429,12.219935071579199,Schkeuditz
04439,51.3314489469419,12.505549792642698,Engelsdorf
04442,51.222725335924395,12.308936553491002,Zwenkau
04445,51.2789146912471,12.470837306257,Markkleeberg
04448,51.4098623696945,12.380915544179599,Wiederitzsch
04451,51.3547810545218,12.543204457260401,Borsdorf
04454,51.3048476214957,12.476892296404,Holzhausen
04457,51.330639183418,12.4531538710731,Mölkau
04460,51.2182224390448,12.224205705764598,Zwenkau
04463,51.2555931737753,12.4783958301848,Großpösna
04466,51.403189550099,12.336031348193,Lindenthal
04469,51.3903864035007,12.2834931677938,Lützschema-Stahmeln
04509,51.505096342047786,12.354089329445904,Delitzsch
04519,51.4442215906216,12.392398897571699,Rackwitz
04523,51.16851021771711,12.2468769618758,Pegau
04539,51.1301585938282,12.317142435441198,Groitzsch
04552,51.1274493774671,12.4892200608762,Borna
04564,51.210691201136704,12.387210206784804,Böhlen
04565,51.0913633740767,12.431013409662,Regis-Breitingen
04567,51.172348508792716,12.562493351074199,Kitzscher
04571,51.202793583085786,12.427386128588099,Rötha
04574,51.1158147186552,12.4124975634588,Neukieritzsch
04575,51.163305002157095,12.3789753025592,Neukieritzsch
04579,51.2091132783251,12.4993782702102,Espenhain
04600,50.9787274538803,12.439608260074598,Altenburg
04603,50.96007492303821,12.4643335989671,Altenburg
04610,51.0563331929355,12.348075217487304,Meuselwitz
04613,51.086172829677714,12.331971267084201,Lucka
04617,51.01512937665879,12.365249387766099,Altenburg
04618,50.9502635485601,12.5770304718426,Langenleuba-Niederhain
04626,50.898378581260395,12.310245571008101,Schmölln
04639,50.873975112611,12.4237710327968,Gößnitz
04643,51.0831576094679,12.6507686344043,Geithain
04651,51.1460850388363,12.676006428576601,Bad Lausick
04654,51.0627418347635,12.559658492264399,Frohburg
04655,51.013846739395596,12.5913539425324,Kohren-Sahlis
04657,50.9893938482057,12.672005066734801,Langensteinbach
04668,51.2145485284711,12.734313349650801,Grimma
04680,51.1260307568365,12.809297824024501,Colditz
04683,51.271758322968,12.5767212896108,Naunhof
04685,51.2766637362082,12.8190504023833,Nerchau
04687,51.2877426957742,12.731352636046903,Trebsen / Mulde
04688,51.260687194640006,12.8870621322598,Mutschen
04703,51.1676366624669,12.9372759228576,Leisnig
04720,51.1417764579461,13.1185033523152,Döbeln
04736,51.0666189210948,13.013482954968701,Waldheim
04741,51.0796261264052,13.1791283247753,Roßwein
04746,51.113464249622496,12.990299755668099,Hartha
